"skill_id","skills","avg_salary"
178,"debian","196500.000000000000"
251,"ringcentral","182500.000000000000"
24,"mongo","170714.893129770992"
50,"lua","170500.000000000000"
119,"dplyr","160667.210526315789"
43,"haskell","155757.666666666667"
150,"asp.net core","155000.000000000000"
154,"node","154408.023076923077"
63,"cassandra","154124.261055424528"
38,"solidity","153639.950000000000"
