"skill_id","skills","job_count","avg_salary"
0,"sql","3083","96435.332040119202"
181,"excel","2143","86418.902006532898"
1,"python","1840","101511.846673318614"
182,"tableau","1659","97978.080173485533"
5,"r","1073","98707.800763047530"
183,"power bi","1044","92323.596881734914"
188,"word","527","82940.755618477230"
196,"powerpoint","524","88315.605245109733"
186,"sas","500","93707.363179687500"
7,"sas","500","93707.363179687500"
